Location				Distance	Stop?	Breakchance		Next			SecondNext	
JohnsonCity				0		false	0				1				0
TrailHead				3		true	20				2				3
FencedBridge				9		true	20				4				0
HomelessBridgeCamp			9		false	0				5				0
CountyLine				12		true	25				8				0
DairyFarm				15		true	25				6				7										
TheGeneralStore				18		false	0				9				0
MilliganDepot				18		true	25				10				0
OldUnderpass				24		true	25				9				0
Elizabethton				27		false	0				11				0
SycamoreShoals				30		true	30				12				0
BetsyHS					33		true	35				13				0
DownTown				36		false	0				14				0
BadLands				39		true	40				14				0
AbadandonedFactory			42		true	40				15				0

